,0
0,0.04013777810069154
1,0.08024154881734756
2,0.11024810047023526
3,0.1315552409979808
4,0.1524906593462957
5,0.1729618427178421
6,0.19332553000319014
7,0.21338893764278624
8,0.2330876371602395
9,0.25088371014211575
10,0.2676312719615663
11,0.2839294334675468
12,0.29927759501214163
13,0.31324023491146263
14,0.3269061031242085
15,0.33939012363480914
16,0.35155016704025865
17,0.36328994997728475
18,0.3748107708623638
19,0.38611045872340066
20,0.3973754415900188
21,0.408608625587363
22,0.4196960272042728
23,0.43075475319179174
24,0.4417075844502266
25,0.45253228469216183
26,0.4632862700327095
27,0.47392667822243795
28,0.484543714770622
29,0.49510586464615663
30,0.5056186171290229
31,0.5160436015657863
32,0.5264421259089663
33,0.5368016653950796
34,0.5470564720711815
35,0.557263727225994
36,0.5674403779402747
37,0.5775839724331187
38,0.587695931588247
39,0.5977483350316424
40,0.6077701054435248
41,0.6177372572321581
42,0.6276630682804673
43,0.6375573841677784
44,0.647380619827792
45,0.6571769613570277
46,0.6669215072311585
47,0.6766275673836631
48,0.6863210566785456
49,0.6959299558053121
50,0.7055272760079825
51,0.7150790364438147
52,0.7245487791217948
53,0.7339826925832429
54,0.7433613445519786
55,0.7527089926373549
56,0.7620136957298351
57,0.7712987631035483
58,0.7805654252684295
59,0.7897791822636243
60,0.7989176893523416
61,0.8080281098591098
62,0.8171122685076904
63,0.8261740588178867
64,0.8351828727445244
65,0.8441543351464835
66,0.853110340650704
67,0.8619941420734603
68,0.8707640338924146
69,0.8794611332900074
70,0.8881309623586665
71,0.8967525713753357
72,0.9052661337670075
73,0.913739656049712
74,0.9221343246316189
75,0.930492083580068
76,0.9387915029536367
77,0.9470285805138664
78,0.9551129802782354
79,0.9630399725159201
80,0.9706545912490897
81,0.9780845353408981
82,0.9853072778052782
83,0.9901396951485483
84,0.994442405430619
85,0.9976953444437228
86,0.9999999990127759
87,0.9999999996936154
88,1.0000000000000002
89,1.0000000000000002
90,1.0000000000000002
91,1.0000000000000002
92,1.0000000000000002
93,1.0000000000000002
94,1.0000000000000002
95,1.0000000000000002
96,1.0000000000000002
97,1.0000000000000002
98,1.0000000000000002
99,1.0000000000000002
