,0,1
0,1,2
1,0,9
2,1,2
3,0,4
4,0,5
5,0,9
6,1,2
7,1,2
8,1,1
9,1,8
10,0,9
11,0,4
12,1,2
13,1,3
14,0,0
15,1,2
16,0,0
17,1,2
18,1,1
19,1,2
20,0,2
21,0,3
22,0,4
23,0,2
24,0,5
25,0,7
26,0,2
27,1,2
28,1,8
29,1,2
30,1,0
31,0,0
32,1,1
33,1,2
34,0,2
35,0,2
36,1,2
37,0,2
38,0,2
39,0,2
40,0,9
41,1,2
42,0,2
43,1,5
44,0,2
45,1,2
46,0,2
47,0,2
48,0,2
49,1,2
50,0,2
51,0,3
52,0,4
53,1,2
54,1,2
55,1,1
56,1,5
57,1,8
58,0,2
59,1,2
60,0,4
61,0,3
62,1,8
63,1,2
64,1,0
65,1,0
66,0,2
67,0,5
68,1,2
69,0,9
70,1,2
71,0,2
72,0,2
73,0,2
74,1,2
75,1,2
76,1,2
77,1,2
78,1,1
79,1,5
80,1,2
81,0,9
82,1,1
83,1,5
84,0,0
85,0,9
86,1,2
87,1,3
88,1,1
89,1,1
90,0,2
91,1,0
92,1,8
93,1,2
94,1,6
95,1,2
96,1,6
97,0,5
98,1,3
99,0,9
100,0,7
101,0,9
102,1,5
103,0,0
104,1,5
105,0,2
106,1,1
107,0,0
108,1,1
109,0,0
110,1,2
111,1,0
112,1,6
113,0,3
114,1,8
115,1,5
116,1,2
117,0,2
118,0,2
119,1,8
120,0,9
121,1,2
122,0,2
123,1,6
124,0,2
125,1,2
126,1,1
127,0,2
128,0,2
129,0,3
130,0,9
131,0,4
132,0,2
133,1,2
134,1,4
135,0,5
136,1,2
137,1,2
138,0,2
139,1,2
140,0,3
141,1,2
142,1,2
143,1,2
144,1,8
145,1,7
146,1,2
147,0,2
148,1,5
149,0,2
150,1,8
151,0,9
152,0,7
153,1,2
154,1,8
155,1,2
156,0,4
157,0,2
158,1,1
159,1,2
160,1,0
161,1,1
162,0,9
163,1,1
164,0,2
165,0,9
166,0,9
167,1,3
168,1,8
169,0,0
170,0,2
171,0,9
172,0,2
173,1,8
174,0,2
175,1,2
176,1,3
177,0,2
178,1,2
179,1,0
180,1,2
181,0,2
182,1,8
183,0,0
184,1,0
185,1,0
186,0,2
187,1,6
188,0,2
189,1,2
190,0,9
191,1,2
192,1,8
193,1,8
194,0,2
195,1,0
196,0,2
197,0,2
198,0,0
199,0,5
200,1,8
201,0,2
202,0,2
203,0,9
204,1,2
205,0,6
206,1,5
207,1,6
208,0,2
209,1,8
210,1,2
211,1,0
212,0,2
213,1,8
214,1,2
215,0,5
216,0,2
217,0,0
218,1,0
219,0,2
220,1,2
221,0,2
222,1,7
223,0,6
224,1,2
225,0,7
226,0,2
227,1,6
228,0,6
229,0,8
230,1,0
231,1,7
232,1,2
233,0,9
234,1,8
235,0,2
236,1,8
237,0,9
238,0,9
239,0,2
240,1,8
241,1,2
242,1,0
243,1,2
244,0,4
245,0,6
246,1,2
247,1,2
248,0,2
249,1,0
250,1,1
251,0,7
252,0,4
253,1,2
254,1,6
255,0,2
256,0,2
257,0,2
258,1,6
259,1,0
260,1,2
261,0,2
262,0,9
263,1,2
264,1,0
265,1,6
266,0,7
267,0,0
268,1,1
269,0,2
270,0,2
271,0,2
272,1,2
273,0,5
274,0,2
275,0,0
276,1,9
277,0,2
278,0,8
279,0,2
280,0,2
281,1,0
282,1,2
283,1,8
284,0,2
285,0,4
286,0,2
287,1,2
288,1,7
289,0,2
290,0,2
291,0,0
292,0,4
293,0,0
294,0,2
295,0,9
296,0,2
297,1,0
298,0,2
299,1,0
300,0,2
301,1,3
302,1,4
303,0,4
304,1,0
305,1,6
306,1,2
307,0,9
308,1,1
309,0,2
310,0,2
311,0,4
312,1,2
313,0,6
314,1,2
315,0,4
316,1,2
317,1,3
318,0,4
319,1,5
320,0,6
321,0,4
322,1,9
323,1,0
324,1,7
325,0,2
326,1,5
327,1,6
328,1,8
329,1,6
330,1,2
331,0,2
332,0,5
333,0,4
334,1,2
335,0,5
336,1,2
337,0,7
338,1,2
339,0,9
340,1,9
341,1,4
342,0,6
343,0,5
344,0,2
345,0,0
346,1,3
347,0,2
348,1,2
349,0,6
350,0,9
351,0,2
352,1,6
353,1,3
354,0,9
355,1,2
356,1,3
357,0,0
358,1,3
359,0,4
360,0,2
361,0,7
362,0,2
363,0,9
364,0,3
365,0,0
366,0,2
367,0,5
368,0,2
369,0,9
370,0,2
371,0,2
372,0,9
373,0,0
374,0,2
375,1,0
376,0,0
377,0,9
378,0,2
379,0,4
380,0,9
381,0,2
382,0,2
383,1,2
384,0,2
385,0,4
386,0,2
387,1,2
388,1,2
389,1,1
390,0,9
391,1,2
392,0,9
393,1,2
394,1,0
395,0,2
396,0,4
397,1,2
398,0,2
399,1,2
400,1,9
401,0,2
402,0,7
403,1,2
404,1,2
405,0,2
406,1,8
407,0,2
408,1,2
409,1,8
410,0,0
411,0,2
412,1,2
413,0,2
414,0,2
415,1,1
416,0,3
417,1,2
418,1,9
419,1,2
420,0,5
421,0,6
422,1,8
423,0,7
424,1,2
425,0,2
426,0,2
427,1,6
428,1,0
429,0,2
430,0,4
431,0,2
432,1,2
433,0,2
434,1,2
435,0,5
436,1,2
437,0,2
438,0,2
439,0,2
440,0,9
441,0,2
442,1,1
443,1,2
444,1,2
445,0,0
446,1,2
447,0,2
448,0,4
449,0,9
450,0,2
451,1,1
452,1,6
453,1,1
454,1,2
455,0,2
456,1,2
457,0,0
458,1,2
459,1,2
460,1,2
461,1,8
462,0,9
463,1,1
464,1,9
465,0,2
466,0,9
467,0,9
468,0,9
469,1,2
470,0,2
471,0,9
472,0,9
473,0,0
474,0,9
475,0,9
476,0,5
477,0,2
478,0,7
479,1,2
480,0,8
481,0,2
482,1,2
483,0,2
484,0,2
485,1,8
486,0,9
487,0,9
488,1,0
489,1,1
490,1,0
491,0,2
492,1,8
493,1,7
494,0,6
495,0,2
496,1,2
497,1,2
498,1,2
499,1,2
500,1,6
501,1,2
502,0,2
503,0,9
504,0,2
505,1,5
506,0,5
507,0,3
508,1,1
509,0,4
510,0,2
511,0,5
512,1,3
513,0,2
514,1,0
515,1,0
516,0,9
517,0,2
518,0,2
519,1,2
520,0,2
521,1,2
522,1,7
523,0,9
524,1,4
525,1,2
526,0,2
527,0,2
528,0,2
529,1,2
530,1,0
531,0,0
532,1,2
533,1,1
534,1,2
535,1,7
536,0,2
537,1,2
538,0,9
539,0,2
540,0,9
541,1,1
542,1,2
543,0,2
544,0,4
545,1,8
546,0,5
547,0,7
548,1,9
549,0,9
550,0,0
551,1,6
552,0,9
553,1,8
554,1,5
555,1,8
556,0,2
557,1,1
558,0,2
559,0,5
560,1,2
561,0,2
562,1,7
563,0,2
564,0,4
565,1,6
566,1,5
567,0,9
568,1,3
569,1,6
570,1,2
571,0,4
572,0,2
573,0,7
574,0,2
575,0,9
576,0,6
577,1,2
578,1,8
579,1,0
580,0,7
581,0,9
582,0,2
583,1,8
584,0,2
585,0,6
586,0,0
587,1,2
588,0,2
589,0,0
590,1,8
591,1,1
592,1,6
593,1,1
594,1,9
595,1,1
596,0,0
597,0,0
598,0,4
599,1,2
600,0,2
601,0,4
602,1,7
603,0,4
604,1,8
605,0,9
606,1,0
607,0,2
608,0,0
609,1,2
610,0,0
611,0,6
612,0,5
613,1,8
614,0,9
615,1,0
616,1,8
617,0,9
618,0,0
619,1,2
620,0,2
621,0,0
622,0,2
623,0,3
624,1,3
625,1,2
626,1,2
627,0,2
628,0,6
629,1,2
630,0,7
631,0,7
632,0,6
633,1,2
634,1,6
635,0,2
636,0,2
637,1,0
638,1,2
639,0,2
640,0,2
641,1,2
642,0,9
643,1,2
644,1,0
645,1,0
646,0,2
647,0,7
648,0,0
649,1,2
650,0,7
651,1,0
652,0,2
653,1,0
654,1,2
655,1,7
656,1,7
657,1,2
658,0,2
659,1,2
660,0,7
661,1,8
662,0,4
663,0,6
664,1,0
665,0,2
666,1,6
667,0,5
668,0,2
669,0,2
670,0,4
671,0,3
672,0,2
673,1,1
674,0,2
675,1,1
676,1,4
