,0
0,0.048791387558251895
1,0.0829171341322438
2,0.10832390720976523
3,0.13264678209977412
4,0.15652853025935115
5,0.17656329867414988
6,0.196576739601227
7,0.21655876626723988
8,0.23633070573975962
9,0.25605683978405064
10,0.2756308733290317
11,0.2940093122693359
12,0.3123493829723549
13,0.3301079420549907
14,0.34727804216002156
15,0.36404831981241526
16,0.3805617831195257
17,0.39545262362952033
18,0.41029536263775024
19,0.4246080123354117
20,0.4388451157283218
21,0.4515913703871158
22,0.4639872049911585
23,0.4759626070080637
24,0.48751031191048644
25,0.49884994419522716
26,0.5098876619557409
27,0.5205911905805108
28,0.531223455153276
29,0.5415925921646152
30,0.5519319910411432
31,0.5621041817437853
32,0.5721498889917299
33,0.5821784512816751
34,0.5921839847830735
35,0.6021872228381021
36,0.6121901417507473
37,0.622191992621388
38,0.6321935583245568
39,0.6421950532098931
40,0.6521963363100016
41,0.662196347388393
42,0.6721881202010016
43,0.6821218099989419
44,0.6919781274941799
45,0.7017880038192926
46,0.7114824855252981
47,0.7210862619568732
48,0.7305690995148086
49,0.7398960052702086
50,0.7491249416008621
51,0.7583063726087085
52,0.7672586462276124
53,0.7761416653089229
54,0.7848548487463847
55,0.7935237998963106
56,0.8020254763434753
57,0.8104084647202423
58,0.8186441029641224
59,0.8267459246506738
60,0.834714160201409
61,0.8426521682728212
62,0.8504297175260517
63,0.8580984982836328
64,0.865626379864237
65,0.8730174282268315
66,0.8802560891619161
67,0.8872592023102899
68,0.8942542468675473
69,0.9010284569347696
70,0.9076820398491247
71,0.9142176530667668
72,0.9206879299831329
73,0.926987328881683
74,0.9330866979410442
75,0.9389505463108384
76,0.94471489207224
77,0.9503165075104516
78,0.9557545080736862
79,0.9610437531477242
80,0.966231514269329
81,0.9706812373968282
82,0.9747416526889217
83,0.9787154542324275
84,0.9821692303163319
85,0.9854646239888827
86,0.9886938203670264
87,0.9916533093791109
88,0.9935661818767726
89,0.99531943188727
90,0.9963593167458831
91,0.9972926189336704
92,0.9981344381733422
93,0.9987613951504795
94,0.9992859809162857
95,0.9997148934805746
96,0.9999419389508212
97,0.999970393753352
98,0.9999855169539158
99,1.0000000000000002
